node,synset,,aoa
n03447721,Synset('gong.n.01'),,9.62
n01855672,Synset('goose.n.01'),,5.15
n02480855,Synset('gorilla.n.01'),,5.74
n03450230,Synset('gown.n.01'),,6.16
n02226429,Synset('grasshopper.n.01'),,5.78
n03457902,Synset('greenhouse.n.01'),,9.22
n02066245,Synset('grey_whale.n.01'),,
n03461385,Synset('grocery_store.n.01'),,
n10148035,Synset('groom.n.01'),,7.78
n07583066,Synset('guacamole.n.01'),,9.68
n02342885,Synset('hamster.n.01'),,4.37
n03485794,Synset('handkerchief.n.01'),,7.22
n02326432,Synset('hare.n.01'),,6.78
n03494278,Synset('harmonica.n.01'),,7.32
n03495258,Synset('harp.n.01'),,7.55
n07802026,Synset('hay.n.01'),,5.32
n02398521,Synset('hippopotamus.n.01'),,7
n02395406,Synset('hog.n.03'),,5.7
n03527444,Synset('holster.n.01'),,10.32
n03534580,Synset('hoopskirt.n.01'),,10.89
n07590611,Synset('hot_pot.n.01'),,
n03544143,Synset('hourglass.n.01'),,8.58
n01532829,Synset('house_finch.n.01'),,
n01833805,Synset('hummingbird.n.01'),,6.95
n02117135,Synset('hyena.n.01'),,6.61
n02417914,Synset('ibex.n.01'),,11.71
n07614500,Synset('ice_cream.n.01'),,
n07615774,Synset('ice_lolly.n.01'),,
n02422699,Synset('impala.n.01'),,11.75
n02128925,Synset('jaguar.n.01'),,7.78
n03594734,Synset('jean.n.01'),,6.12
n03594945,Synset('jeep.n.01'),,6.32
n03599486,Synset('jinrikisha.n.01'),,
n01534433,Synset('junco.n.01'),,11.2
n03617480,Synset('kimono.n.01'),,11.37
n01882714,Synset('koala.n.01'),,6
n03633091,Synset('ladle.n.01'),,9.83
n02165456,Synset('ladybug.n.01'),,4.84
n09332890,Synset('lakeside.n.01'),,
n03637318,Synset('lampshade.n.01'),,5.63
n03642806,Synset('laptop.n.01'),,12.44
n03649909,Synset('lawn_mower.n.01'),,
n07749582,Synset('lemon.n.01'),,4.74
n03662601,Synset('lifeboat.n.01'),,7.72
n03670208,Synset('limousine.n.01'),,8.17
n02129165,Synset('lion.n.01'),,4.42
n02643566,Synset('lionfish.n.01'),,10.94
n03676483,Synset('lipstick.n.01'),,5.42
n02437616,Synset('llama.n.01'),,8.61
n03690938,Synset('lotion.n.01'),,5.83
n03691459,Synset('loudspeaker.n.01'),,10
n03692522,Synset('loupe.n.01'),,16.15
n02127052,Synset('lynx.n.02'),,10.53
n02487347,Synset('macaque.n.01'),,13.33
n01818515,Synset('macaw.n.01'),,8.8
n01582220,Synset('magpie.n.01'),,10.47
n03710193,Synset('mailbox.n.01'),,6.11
n02110063,Synset('malamute.n.01'),,11.83
n02236044,Synset('mantis.n.01'),,9.28
n03720891,Synset('maraca.n.01'),,9.08
n03721384,Synset('marimba.n.01'),,14
n02490219,Synset('marmoset.n.01'),,13
n02361337,Synset('marmot.n.01'),,13.91
n03724870,Synset('mask.n.01'),,4.8
n03729826,Synset('matchstick.n.01'),,6.74
n03733131,Synset('maypole.n.01'),,8.08
n03733281,Synset('maze.n.01'),,7.11
n07871810,Synset('meat_loaf.n.01'),,
n03743016,Synset('megalith.n.01'),,15.36
n03759954,Synset('microphone.n.01'),,6.25
n03769881,Synset('minibus.n.01'),,12.24
n03770439,Synset('miniskirt.n.01'),,10.47
n03770679,Synset('minivan.n.01'),,7.5
n03773504,Synset('missile.n.01'),,7.22
n03775071,Synset('mitten.n.01'),,4.72
n03777754,Synset('modem.n.01'),,13.75
n03781244,Synset('monastery.n.01'),,10.26
n02137549,Synset('mongoose.n.01'),,9.94
n03785016,Synset('moped.n.01'),,9.39
n03788195,Synset('mosque.n.01'),,14.12
n03794056,Synset('mousetrap.n.01'),,6.78
n03814906,Synset('necklace.n.01'),,5
n03837869,Synset('obelisk.n.01'),,13.67
n03838899,Synset('oboe.n.01'),,10.78
n03840681,Synset('ocarina.n.01'),,12.5
n07747607,Synset('orange.n.01'),,3.26
n02480495,Synset('orangutan.n.01'),,7.83
n03857828,Synset('oscilloscope.n.01'),,15.75
n02403003,Synset('ox.n.01'),,4.72
n03868242,Synset('oxcart.n.01'),,10
n03874599,Synset('padlock.n.01'),,8.84
n03876231,Synset('paintbrush.n.01'),,6.22
n03884397,Synset('panpipe.n.01'),,12.27
n03888257,Synset('parachute.n.01'),,7
n03895866,Synset('passenger_car.n.01'),,
n03899768,Synset('patio.n.01'),,8
n02051845,Synset('pelican.n.01'),,8.22
n03924679,Synset('photocopier.n.01'),,10.22
n03930630,Synset('pickup.n.01'),,7.05
n03938244,Synset('pillow.n.01'),,3.47
n07873807,Synset('pizza.n.01'),,4.67
n03956157,Synset('planetarium.n.01'),,9.63
n01873310,Synset('platypus.n.01'),,7.71
n03967562,Synset('plow.n.01'),,7.11
n03976657,Synset('pole.n.01'),,5.63
n03980874,Synset('poncho.n.01'),,8.84
n02346627,Synset('porcupine.n.01'),,6.89
n03991062,Synset('pot.n.04'),,5.95
n07875152,Synset('potpie.n.01'),,8.11
n07695742,Synset('pretzel.n.01'),,5
n04005630,Synset('prison.n.01'),,7.5
n04008634,Synset('projectile.n.01'),,10.21
n09399592,Synset('promontory.n.01'),,14.18
n02110958,Synset('pug.n.01'),,9.17
n04033901,Synset('quill.n.01'),,9.04
n04033995,Synset('quilt.n.01'),,6.55
n11879895,Synset('rapeseed.n.01'),,14.36
n02090379,Synset('redbone.n.01'),,12.89
n04070727,Synset('refrigerator.n.01'),,4.11
n04074963,Synset('remote_control.n.01'),,
n04081281,Synset('restaurant.n.01'),,5.95
n04086273,Synset('revolver.n.01'),,9.26
n04090263,Synset('rifle.n.01'),,7.85
n04111531,Synset('rotisserie.n.01'),,11.26
n04125021,Synset('safe.n.01'),,5.11
n04131690,Synset('saltshaker.n.01'),,5.42
n04133789,Synset('sandal.n.01'),,5.21
n09421951,Synset('sandbar.n.01'),,10.41
n04136333,Synset('sarong.n.01'),,12.92
n04141076,Synset('sax.n.02'),,8.75
n04141327,Synset('scabbard.n.01'),,14.09
n04149813,Synset('scoreboard.n.01'),,7.37
n04154565,Synset('screwdriver.n.01'),,6
n09428293,Synset('seashore.n.01'),,6.44
n04162706,Synset('seat_belt.n.01'),,
n04208210,Synset('shovel.n.01'),,6.28
n01756291,Synset('sidewinder.n.01'),,11.25
